year;gender;source_form;rank;district_code;flagged
2021;F;Софија;3;srednjobanatska;0
2021;M;Јован;3;srednjobanatska;0
2021;F;Теодора;4;srednjobanatska;0
2021;M;Лазар;4;srednjobanatska;0
2021;F;Милица;5;srednjobanatska;0
2021;M;Урош;5;srednjobanatska;0
2021;F;Мила;6;srednjobanatska;0
2021;M;Душан;6;srednjobanatska;0
2021;F;Хелена;7;srednjobanatska;0
2021;M;Алекса;7;srednjobanatska;0
2021;F;Уна;8;srednjobanatska;0
2021;M;Никола;8;srednjobanatska;0
2021;F;Ања;9;srednjobanatska;0
2021;M;Василије;9;srednjobanatska;0
2021;F;Петра;10;srednjobanatska;0
2021;M;Михајло;10;srednjobanatska;0
2021;F;Софија;1;sremska;0
2021;M;Лука;1;sremska;0
2021;F;Дуња;2;sremska;0
2021;M;Лазар;2;sremska;0
2021;F;Милица;3;sremska;0
2021;M;Никола;3;sremska;0
2021;F;Сара;4;sremska;0
2021;M;Стефан;4;sremska;0
2021;F;Мила;5;sremska;0
2021;M;Јован;5;sremska;0
2021;F;Уна;6;sremska;0
2021;M;Михајло;6;sremska;0
2021;F;Теодора;7;sremska;0
2021;M;Алекса;7;sremska;0
2021;F;Николина;8;sremska;0
2021;M;Вук;8;sremska;0
2021;F;Ленка;9;sremska;0
2021;M;Душан;9;sremska;0
2021;F;Тара;10;sremska;0
2021;M;Вукашин;10;sremska;0
2021;F;Софија;1;zlatiborska;0
2021;M;Лука;1;zlatiborska;0
2021;F;Дуња;2;zlatiborska;0
2021;M;Богдан;2;zlatiborska;0
2021;F;Милица;3;zlatiborska;0
2021;M;Василије;3;zlatiborska;0
2021;F;Теодора;4;zlatiborska;0
2021;M;Лазар;4;zlatiborska;0
2021;F;Сара;5;zlatiborska;0
2021;M;Јован;5;zlatiborska;0
2021;F;Јана;6;zlatiborska;0
2021;M;Стефан;6;zlatiborska;0
2021;F;Уна;7;zlatiborska;0
2021;M;Алекса;7;zlatiborska;0
2021;F;Дарија;8;zlatiborska;0
2021;M;Вук;8;zlatiborska;0
2021;F;Николина;9;zlatiborska;0
2021;M;Вукан;9;zlatiborska;0
2021;F;Ема;10;zlatiborska;0
2021;M;Јаков;10;zlatiborska;0
2021;F;Софија;1;kolubarska;0
2021;M;Лука;1;kolubarska;0
2021;F;Дуња;2;kolubarska;0
2021;M;Лазар;2;kolubarska;0
2021;F;Николина;3;kolubarska;0
2021;M;Богдан;3;kolubarska;0
2021;F;Теодора;4;kolubarska;0
2021;M;Урош;4;kolubarska;0
2021;F;Јана;5;kolubarska;0
2021;M;Василије;5;kolubarska;0
2021;F;Сара;6;kolubarska;0
2021;M;Вук;6;kolubarska;0
2021;F;Ксенија;7;kolubarska;0
2021;M;Вукан;7;kolubarska;0
2021;F;Милица;8;kolubarska;0
2021;M;Алексеј;8;kolubarska;0
2021;F;Мила;9;kolubarska;0
2021;M;Виктор;9;kolubarska;0
2021;F;Нина;10;kolubarska;0
2021;M;Вукашин;10;kolubarska;0
2021;F;Софија;1;macvanska;0
2021;M;Лука;1;macvanska;0
2021;F;Дуња;2;macvanska;0
2021;M;Лазар;2;macvanska;0
2021;F;Теодора;3;macvanska;0
2021;M;Богдан;3;macvanska;0
2021;F;Нађа;4;macvanska;0
2021;M;Урош;4;macvanska;0
2021;F;Сара;5;macvanska;0
2021;M;Василије;5;macvanska;0
2021;F;Милица;6;macvanska;0
2021;M;Страхиња;6;macvanska;0
2021;F;Мила;7;macvanska;0
2021;M;Алекса;7;macvanska;0
2021;F;Анђела;8;macvanska;0
2021;M;Вук;8;macvanska;0
2021;F;Ања;9;macvanska;0
2021;M;Вукашин;9;macvanska;0
2021;F;Дарија;10;macvanska;0
2021;M;Стефан;10;macvanska;0
2021;F;Софија;1;moravicka;0
2021;M;Лука;1;moravicka;0
2021;F;Сара;2;moravicka;0
2021;M;Богдан;2;moravicka;0
2021;F;Уна;3;moravicka;0
2021;M;Василије;3;moravicka;0
2021;F;Дуња;4;moravicka;0
2021;M;Павле;4;moravicka;0
2021;F;Теодора;5;moravicka;0
2021;M;Вукашин;5;moravicka;0
2021;F;Даница;6;moravicka;0
2021;M;Лазар;6;moravicka;0
2021;F;Јана;7;moravicka;0
2021;M;Вук;7;moravicka;0
2021;F;Нађа;8;moravicka;0
2021;M;Виктор;8;moravicka;0
2021;F;Милица;9;moravicka;0
2021;M;Алекса;9;moravicka;0
2021;F;Хелена;10;moravicka;0
2021;M;Давид;10;moravicka;0
2021;F;Софија;1;pomoravska;0
2021;M;Василије;1;pomoravska;0
2021;F;Мила;2;pomoravska;0
2021;M;Лука;2;pomoravska;0
2021;F;Уна;3;pomoravska;0
2021;M;Лазар;3;pomoravska;0
2021;F;Хелена;4;pomoravska;0
2021;M;Алекса;4;pomoravska;0
2021;F;Николина;5;pomoravska;0
2021;M;Вук;5;pomoravska;0
2021;F;Тара;6;pomoravska;0
2021;M;Богдан;6;pomoravska;0
2021;F;Милица;7;pomoravska;0
