year;gender;source_form;rank;district_code;flagged
2025;F;Софија;1;;0
2025;M;Василије;1;;0
2025;F;Дуња;2;;0
2025;M;Богдан;2;;0
2025;F;Мила;3;;0
2025;M;Лука;3;;0
2025;F;Маша;4;;0
2025;M;Лазар;4;;0
2025;F;Тара;5;;0
2025;M;Вукан;5;;0
2025;F;Теодора;6;;0
2025;M;Стефан;6;;0
2025;F;Нађа;7;;0
2025;M;Вук;7;;0
2025;F;Петра;8;;0
2025;M;Павле;8;;0
2025;F;Сара;9;;0
2025;M;Душан;9;;0
2025;F;Даница;10;;0
2025;M;Алекса;10;;0
2025;F;Софија;1;beogradska;0
2025;M;Лука;1;beogradska;0
2025;F;Дуња;2;beogradska;0
2025;M;Василије;2;beogradska;0
2025;F;Петра;3;beogradska;0
2025;M;Богдан;3;beogradska;0
2025;F;Маша;4;beogradska;0
2025;M;Лазар;4;beogradska;0
2025;F;Мила;5;beogradska;0
2025;M;Вук;5;beogradska;0
2025;F;Тара;6;beogradska;0
2025;M;Стефан;6;beogradska;0
2025;F;Искра;7;beogradska;0
2025;M;Вукан;7;beogradska;0
2025;F;Теодора;8;beogradska;0
2025;M;Петар;8;beogradska;0
2025;F;Нађа;9;beogradska;0
2025;M;Виктор;9;beogradska;0
2025;F;Уна;10;beogradska;0
2025;M;Душан;10;beogradska;0
2025;F;Дуња;1;zapadnobacka;0
2025;M;Лука;1;zapadnobacka;0
2025;F;Милица;2;zapadnobacka;0
2025;M;Василије;2;zapadnobacka;0
2025;F;Софија;3;zapadnobacka;0
2025;M;Урош;3;zapadnobacka;0
2025;F;Мила;4;zapadnobacka;0
2025;M;Стефан;4;zapadnobacka;0
2025;F;Тара;5;zapadnobacka;0
2025;M;Богдан;5;zapadnobacka;0
2025;F;Јана;6;zapadnobacka;0
2025;M;Лазар;6;zapadnobacka;0
2025;F;Сара;7;zapadnobacka;0
2025;M;Алексеј;7;zapadnobacka;0
2025;F;Теодора;8;zapadnobacka;0
2025;M;Михајло;8;zapadnobacka;0
2025;F;Елена;9;zapadnobacka;0
2025;M;Душан;9;zapadnobacka;0
2025;F;Петра;10;zapadnobacka;0
2025;M;Алекса;10;zapadnobacka;0
2025;F;Софија;1;juznobanatska;0
2025;M;Лука;1;juznobanatska;0
2025;F;Дуња;2;juznobanatska;0
2025;M;Богдан;2;juznobanatska;0
2025;F;Нађа;3;juznobanatska;0
2025;M;Лазар;3;juznobanatska;0
2025;F;Мила;4;juznobanatska;0
2025;M;Василије;4;juznobanatska;0
2025;F;Маша;5;juznobanatska;0
2025;M;Вукан;5;juznobanatska;0
2025;F;Теодора;6;juznobanatska;0
2025;M;Алекса;6;juznobanatska;0
2025;F;Анђела;7;juznobanatska;0
2025;M;Филип;7;juznobanatska;0
2025;F;Искра;8;juznobanatska;0
2025;M;Огњен;8;juznobanatska;0
2025;F;Тара;9;juznobanatska;0
2025;M;Стефан;9;juznobanatska;0
2025;F;Нина;10;juznobanatska;0
2025;M;Михајло;10;juznobanatska;0
2025;F;Софија;1;juznobacka;0
2025;M;Лука;1;juznobacka;0
2025;F;Дуња;2;juznobacka;0
2025;M;Богдан;2;juznobacka;0
2025;F;Теодора;3;juznobacka;0
2025;M;Лазар;3;juznobacka;0
2025;F;Маша;4;juznobacka;0
2025;M;Стефан;4;juznobacka;0
2025;F;Милица;5;juznobacka;0
