year;gender;source_form;rank;district_code;flagged
2022;F;Софија;1;;0
2022;M;Лука;1;;0
2022;F;Дуња;2;;0
2022;M;Лазар;2;;0
2022;F;Мила;3;;0
2022;M;Василије;3;;0
2022;F;Теодора;4;;0
2022;M;Богдан;4;;0
2022;F;Сара;5;;0
2022;M;Вук;5;;0
2022;F;Уна;6;;0
2022;M;Стефан;6;;0
2022;F;Нађа;7;;0
2022;M;Алекса;7;;0
2022;F;Милица;8;;0
2022;M;Вукан;8;;0
2022;F;Хелена;9;;0
2022;M;Михајло;9;;0
2022;F;Маша;10;;0
2022;M;Павле;10;;0
2022;F;Софија;1;beogradska;0
2022;M;Лука;1;beogradska;0
2022;F;Дуња;2;beogradska;0
2022;M;Лазар;2;beogradska;0
2022;F;Мила;3;beogradska;0
2022;M;Вук;3;beogradska;0
2022;F;Теодора;4;beogradska;0
2022;M;Богдан;4;beogradska;0
2022;F;Петра;5;beogradska;0
2022;M;Василије;5;beogradska;0
2022;F;Маша;6;beogradska;0
2022;M;Стефан;6;beogradska;0
2022;F;Сара;7;beogradska;0
2022;M;Виктор;7;beogradska;0
2022;F;Уна;8;beogradska;0
2022;M;Филип;8;beogradska;0
2022;F;Тара;9;beogradska;0
2022;M;Алекса;9;beogradska;0
2022;F;Хелена;10;beogradska;0
2022;M;Вукан;10;beogradska;0
2022;F;Софија;1;zapadnobacka;0
2022;M;Лука;1;zapadnobacka;0
2022;F;Дуња;2;zapadnobacka;0
2022;M;Лазар;2;zapadnobacka;0
2022;F;Уна;3;zapadnobacka;0
2022;M;Стефан;3;zapadnobacka;0
2022;F;Мила;4;zapadnobacka;0
2022;M;Михајло;4;zapadnobacka;0
2022;F;Теодора;5;zapadnobacka;0
2022;M;Урош;5;zapadnobacka;0
2022;F;Милица;6;zapadnobacka;0
2022;M;Алекса;6;zapadnobacka;0
2022;F;Анђела;7;zapadnobacka;0
2022;M;Василије;7;zapadnobacka;0
2022;F;Маша;8;zapadnobacka;0
2022;M;Огњен;8;zapadnobacka;0
2022;F;Нађа;9;zapadnobacka;0
2022;M;Никола;9;zapadnobacka;0
2022;F;Тара;10;zapadnobacka;0
2022;M;Алексеј;10;zapadnobacka;0
2022;F;Софија;1;juznobanatska;0
2022;M;Лука;1;juznobanatska;0
2022;F;Дуња;2;juznobanatska;0
2022;M;Лазар;2;juznobanatska;0
2022;F;Мила;3;juznobanatska;0
2022;M;Михајло;3;juznobanatska;0
2022;F;Ана;4;juznobanatska;0
2022;M;Стефан;4;juznobanatska;0
2022;F;Калина;5;juznobanatska;0
2022;M;Алекса;5;juznobanatska;0
2022;F;Николина;6;juznobanatska;0
2022;M;Василије;6;juznobanatska;0
2022;F;Теодора;7;juznobanatska;0
2022;M;Вук;7;juznobanatska;0
2022;F;Анђела;8;juznobanatska;0
2022;M;Огњен;8;juznobanatska;0
2022;F;Даница;9;juznobanatska;0
2022;M;Богдан;9;juznobanatska;0
2022;F;Милица;10;juznobanatska;0
2022;M;Никола;10;juznobanatska;0
2022;F;Софија;1;juznobacka;0
2022;M;Лука;1;juznobacka;0
2022;F;Мила;2;juznobacka;0
2022;M;Лазар;2;juznobacka;0
