year;gender;source_form;rank;district_code;flagged
2023;F;Софија;1;;0
2023;M;Лука;1;;0
2023;F;Дуња;2;;0
2023;M;Василије;2;;0
2023;F;Мила;3;;0
2023;M;Лазар;3;;0
2023;F;Теодора;4;;0
2023;M;Богдан;4;;0
2023;F;Маша;5;;0
2023;M;Вук;5;;0
2023;F;Сара;6;;0
2023;M;Вукан;6;;0
2023;F;Нађа;7;;0
2023;M;Стефан;7;;0
2023;F;Милица;8;;0
2023;M;Алекса;8;;0
2023;F;Тара;9;;0
2023;M;Михајло;9;;0
2023;F;Ленка;10;;0
2023;M;Душан;10;;0
2023;F;Софија;1;beogradska;0
2023;M;Лука;1;beogradska;0
2023;F;Дуња;2;beogradska;0
2023;M;Василије;2;beogradska;0
2023;F;Мила;3;beogradska;0
2023;M;Лазар;3;beogradska;0
2023;F;Маша;4;beogradska;0
2023;M;Вук;4;beogradska;0
2023;F;Теодора;5;beogradska;0
2023;M;Богдан;5;beogradska;0
2023;F;Тара;6;beogradska;0
2023;M;Стефан;6;beogradska;0
2023;F;Петра;7;beogradska;0
2023;M;Петар;7;beogradska;0
2023;F;Сара;8;beogradska;0
2023;M;Вукан;8;beogradska;0
2023;F;Даница;9;beogradska;0
2023;M;Виктор;9;beogradska;0
2023;F;Нађа;10;beogradska;0
2023;M;Филип;10;beogradska;0
2023;F;Мила;1;zapadnobacka;0
2023;M;Лука;1;zapadnobacka;0
2023;F;Софија;2;zapadnobacka;0
2023;M;Лазар;2;zapadnobacka;0
2023;F;Дуња;3;zapadnobacka;0
2023;M;Михајло;3;zapadnobacka;0
2023;F;Милица;4;zapadnobacka;0
2023;M;Урош;4;zapadnobacka;0
2023;F;Нађа;5;zapadnobacka;0
2023;M;Вук;5;zapadnobacka;0
2023;F;Тара;6;zapadnobacka;0
2023;M;Василије;6;zapadnobacka;0
2023;F;Теодора;7;zapadnobacka;0
2023;M;Душан;7;zapadnobacka;0
2023;F;Анђела;8;zapadnobacka;0
2023;M;Петар;8;zapadnobacka;0
2023;F;Јована;9;zapadnobacka;0
2023;M;Алекса;9;zapadnobacka;0
2023;F;Ленка;10;zapadnobacka;0
2023;M;Давид;10;zapadnobacka;0
2023;F;Софија;1;juznobanatska;0
2023;M;Лука;1;juznobanatska;0
2023;F;Дуња;2;juznobanatska;0
2023;M;Лазар;2;juznobanatska;0
2023;F;Мила;3;juznobanatska;0
2023;M;Алекса;3;juznobanatska;0
2023;F;Теодора;4;juznobanatska;0
2023;M;Богдан;4;juznobanatska;0
2023;F;Маша;5;juznobanatska;0
2023;M;Стефан;5;juznobanatska;0
2023;F;Николина;6;juznobanatska;0
2023;M;Душан;6;juznobanatska;0
2023;F;Анастасија;7;juznobanatska;0
2023;M;Михајло;7;juznobanatska;0
2023;F;Милица;8;juznobanatska;0
2023;M;Тадија;8;juznobanatska;0
2023;F;Марија;9;juznobanatska;0
2023;M;Филип;9;juznobanatska;0
2023;F;Јана;10;juznobanatska;0
2023;M;Урош;10;juznobanatska;0
2023;F;Софија;1;juznobacka;0
2023;M;Лука;1;juznobacka;0
2023;F;Дуња;2;juznobacka;0
2023;M;Лазар;2;juznobacka;0
2023;F;Мила;3;juznobacka;0
2023;M;Стефан;3;juznobacka;0
2023;F;Милица;4;juznobacka;0
2023;M;Вук;4;juznobacka;0
2023;F;Ленка;5;juznobacka;0
2023;M;Душан;5;juznobacka;0
2023;F;Сара;6;juznobacka;0
2023;M;Михајло;6;juznobacka;0
2023;F;Теодора;7;juznobacka;0
2023;M;Василије;7;juznobacka;0
2023;F;Тара;8;juznobacka;0
2023;M;Никола;8;juznobacka;0
2023;F;Маша;9;juznobacka;0
2023;M;Урош;9;juznobacka;0
2023;F;Јана;10;juznobacka;0
2023;M;Вукан;10;juznobacka;0
2023;F;Мила;1;severnobanatska;0
2023;M;Лука;1;severnobanatska;0
2023;F;Софија;2;severnobanatska;0
2023;M;Милан;2;severnobanatska;0
2023;F;Теодора;3;severnobanatska;0
2023;M;Давид;3;severnobanatska;0
2023;F;Анђела;4;severnobanatska;0
2023;M;Лазар;4;severnobanatska;0
2023;F;Сара;5;severnobanatska;0
2023;M;Алекса;5;severnobanatska;0
2023;F;Маша;6;severnobanatska;0
2023;M;Јован;6;severnobanatska;0
2023;F;Нина;7;severnobanatska;0
2023;M;Стефан;7;severnobanatska;0
2023;F;Петра;8;severnobanatska;0
2023;M;Теодор;8;severnobanatska;0
2023;F;Јована;9;severnobanatska;0
2023;M;Урош;9;severnobanatska;0
2023;F;Лара;10;severnobanatska;0
2023;M;Вук;10;severnobanatska;0
2023;F;Милица;1;severnobacka;0
2023;M;Лука;1;severnobacka;0
2023;F;Сара;2;severnobacka;0
2023;M;Лазар;2;severnobacka;0
2023;F;Теодора;3;severnobacka;0
2023;M;Урош;3;severnobacka;0
2023;F;Хана;4;severnobacka;0
2023;M;Василије;4;severnobacka;0
2023;F;Петра;5;severnobacka;0
2023;M;Филип;5;severnobacka;0
2023;F;Дуња;6;severnobacka;0
2023;M;Михајло;6;severnobacka;0
2023;F;Мила;7;severnobacka;0
2023;M;Богдан;7;severnobacka;0
2023;F;Маша;8;severnobacka;0
2023;M;Андреј;8;severnobacka;0
2023;F;Анђела;9;severnobacka;0
2023;M;Душан;9;severnobacka;0
2023;F;Лена;10;severnobacka;0
2023;M;Адам;10;severnobacka;0
2023;F;Софија;1;srednjobanatska;0
2023;M;Лука;1;srednjobanatska;0
2023;F;Анђела;2;srednjobanatska;0
2023;M;Богдан;2;srednjobanatska;0
2023;F;Милица;3;srednjobanatska;0
2023;M;Лазар;3;srednjobanatska;0
2023;F;Дуња;4;srednjobanatska;0
2023;M;Душан;4;srednjobanatska;0
2023;F;Ленка;5;srednjobanatska;0
2023;M;Стефан;5;srednjobanatska;0
2023;F;Маша;6;srednjobanatska;0
2023;M;Никола;6;srednjobanatska;0
2023;F;Петра;7;srednjobanatska;0
2023;M;Василије;7;srednjobanatska;0
2023;F;Јана;8;srednjobanatska;0
2023;M;Милош;8;srednjobanatska;0
2023;F;Николина;9;srednjobanatska;0
2023;M;Михајло;9;srednjobanatska;0
2023;F;Даница;10;srednjobanatska;0
2023;M;Огњен;10;srednjobanatska;0
2023;F;Софија;1;sremska;0
2023;M;Лука;1;sremska;0
2023;F;Милица;2;sremska;0
2023;M;Лазар;2;sremska;0
2023;F;Дуња;3;sremska;0
2023;M;Василије;3;sremska;0
2023;F;Мила;4;sremska;0
2023;M;Стефан;4;sremska;0
2023;F;Нађа;5;sremska;0
2023;M;Урош;5;sremska;0
2023;F;Анђела;6;sremska;0
2023;M;Вук;6;sremska;0
2023;F;Уна;7;sremska;0
2023;M;Душан;7;sremska;0
2023;F;Теодора;8;sremska;0
2023;M;Вукан;8;sremska;0
2023;F;Анастасија;9;sremska;0
2023;M;Јован;9;sremska;0
2023;F;Марија;10;sremska;0
2023;M;Никола;10;sremska;0
2023;F;Сара;1;zlatiborska;0
2023;M;Лука;1;zlatiborska;0
2023;F;Теодора;2;zlatiborska;0
2023;M;Василије;2;zlatiborska;0
2023;F;Софија;3;zlatiborska;0
2023;M;Богдан;3;zlatiborska;0
2023;F;Дуња;4;zlatiborska;0
2023;M;Лазар;4;zlatiborska;0
2023;F;Николина;5;zlatiborska;0
2023;M;Вук;5;zlatiborska;0
2023;F;Магдалена;6;zlatiborska;0
2023;M;Душан;6;zlatiborska;0
2023;F;Јана;7;zlatiborska;0
2023;M;Јаков;7;zlatiborska;0
2023;F;Милица;8;zlatiborska;0
2023;M;Стефан;8;zlatiborska;0
2023;F;Хелена;9;zlatiborska;0
2023;M;Андреј;9;zlatiborska;0
2023;F;Анђела;10;zlatiborska;0
2023;M;Петар;10;zlatiborska;0
2023;F;Софија;1;kolubarska;0
2023;M;Лука;1;kolubarska;0
2023;F;Теодора;2;kolubarska;0
2023;M;Богдан;2;kolubarska;0
2023;F;Дуња;3;kolubarska;0
2023;M;Лазар;3;kolubarska;0
2023;F;Нађа;4;kolubarska;0
2023;M;Василије;4;kolubarska;0
2023;F;Анастасија;5;kolubarska;0
2023;M;Вук;5;kolubarska;0
2023;F;Николина;6;kolubarska;0
2023;M;Вукан;6;kolubarska;0
2023;F;Ђурђа;7;kolubarska;0
2023;M;Вукашин;7;kolubarska;0
2023;F;Ленка;8;kolubarska;0
2023;M;Павле;8;kolubarska;0
2023;F;Маша;9;kolubarska;0
2023;M;Петар;9;kolubarska;0
2023;F;Анђела;10;kolubarska;0
2023;M;Стефан;10;kolubarska;0
2023;F;Дуња;1;macvanska;0
2023;M;Лазар;1;macvanska;0
2023;F;Софија;2;macvanska;0
2023;M;Василије;2;macvanska;0
2023;F;Милица;3;macvanska;0
2023;M;Лука;3;macvanska;0
2023;F;Теодора;4;macvanska;0
2023;M;Јаков;4;macvanska;0
2023;F;Мила;5;macvanska;0
2023;M;Богдан;5;macvanska;0
2023;F;Анђела;6;macvanska;0
2023;M;Вукашин;6;macvanska;0
2023;F;Нађа;7;macvanska;0
2023;M;Андреј;7;macvanska;0
2023;F;Ленка;8;macvanska;0
2023;M;Вукан;8;macvanska;0
2023;F;Хелена;9;macvanska;0
2023;M;Михаило;9;macvanska;0
2023;F;Николина;10;macvanska;0
2023;M;Филип;10;macvanska;0
2023;F;Софија;1;moravicka;0
2023;M;Лука;1;moravicka;0
2023;F;Ђурђа;2;moravicka;0
2023;M;Василије;2;moravicka;0
2023;F;Теодора;3;moravicka;0
2023;M;Богдан;3;moravicka;0
2023;F;Магдалена;4;moravicka;0
2023;M;Јаков;4;moravicka;0
2023;F;Нађа;5;moravicka;0
2023;M;Лазар;5;moravicka;0
2023;F;Нина;6;moravicka;0
2023;M;Стефан;6;moravicka;0
2023;F;Милица;7;moravicka;0
2023;M;Алекса;7;moravicka;0
2023;F;Анастасија;8;moravicka;0
2023;M;Виктор;8;moravicka;0
2023;F;Емилија;9;moravicka;0
2023;M;Вук;9;moravicka;0
2023;F;Николина;10;moravicka;0
2023;M;Павле;10;moravicka;0
2023;F;Мила;1;pomoravska;0
2023;M;Василије;1;pomoravska;0
2023;F;Ленка;2;pomoravska;0
2023;M;Јаков;2;pomoravska;0
2023;F;Софија;3;pomoravska;0
2023;M;Лука;3;pomoravska;0
2023;F;Анђелија;4;pomoravska;0
2023;M;Лазар;4;pomoravska;0
2023;F;Дарија;5;pomoravska;0
2023;M;Алекса;5;pomoravska;0
2023;F;Дуња;6;pomoravska;0
2023;M;Богдан;6;pomoravska;0
2023;F;Даница;7;pomoravska;0
2023;M;Вукан;7;pomoravska;0
2023;F;Милица;8;pomoravska;0
2023;M;Михајло;8;pomoravska;0
2023;F;Сташа;9;pomoravska;0
2023;M;Ђорђе;9;pomoravska;0
2023;F;Уна;10;pomoravska;0
2023;M;Илија;10;pomoravska;0
2023;F;Тара;1;rasinska;0
2023;M;Лука;1;rasinska;0
2023;F;Софија;2;rasinska;0
2023;M;Василије;2;rasinska;0
2023;F;Мила;3;rasinska;0
2023;M;Вукан;3;rasinska;0
2023;F;Неда;4;rasinska;0
2023;M;Богдан;4;rasinska;0
2023;F;Нађа;5;rasinska;0
2023;M;Јаков;5;rasinska;0
2023;F;Петра;6;rasinska;0
2023;M;Михајло;6;rasinska;0
2023;F;Сара;7;rasinska;0
2023;M;Тадија;7;rasinska;0
2023;F;Маша;8;rasinska;0
2023;M;Лазар;8;rasinska;0
2023;F;Дуња;9;rasinska;0
2023;M;Алекса;9;rasinska;0
2023;F;Митра;10;rasinska;0
2023;M;Павле;10;rasinska;0
2023;F;Софија;1;raska;0
2023;M;Лука;1;raska;0
2023;F;Мерјем;2;raska;0
2023;M;Вукан;2;raska;0
2023;F;Хана;3;raska;0
2023;M;Василије;3;raska;0
2023;F;Дарија;4;raska;0
2023;M;Ахмед;4;raska;0
2023;F;Нађа;5;raska;0
2023;M;Богдан;5;raska;0
2023;F;Сара;6;raska;0
2023;M;Хамза;6;raska;0
2023;F;Џана;7;raska;0
2023;M;Мехмед;7;raska;0
2023;F;Зејна;8;raska;0
2023;M;Али;8;raska;0
2023;F;Алејна;9;raska;0
2023;M;Малик;9;raska;0
2023;F;Мила;10;raska;0
2023;M;Вук;10;raska;0
2023;F;Софија;1;sumadijska;0
2023;M;Богдан;1;sumadijska;0
2023;F;Петра;2;sumadijska;0
2023;M;Лука;2;sumadijska;0
2023;F;Теодора;3;sumadijska;0
2023;M;Василије;3;sumadijska;0
2023;F;Искра;4;sumadijska;0
2023;M;Алекса;4;sumadijska;0
2023;F;Дарија;5;sumadijska;0
2023;M;Јаков;5;sumadijska;0
2023;F;Милица;6;sumadijska;0
2023;M;Вукан;6;sumadijska;0
2023;F;Сара;7;sumadijska;0
2023;M;Тадија;7;sumadijska;0
2023;F;Хелена;8;sumadijska;0
2023;M;Димитрије;8;sumadijska;0
2023;F;Мила;9;sumadijska;0
2023;M;Павле;9;sumadijska;0
2023;F;Дуња;10;sumadijska;0
2023;M;Душан;10;sumadijska;0
2023;F;Софија;1;borska;0
2023;M;Лазар;1;borska;0
2023;F;Сара;2;borska;0
2023;M;Лука;2;borska;0
2023;F;Анастасија;3;borska;0
2023;M;Јаков;3;borska;0
2023;F;Дуња;4;borska;0
2023;M;Вук;4;borska;0
2023;F;Мила;5;borska;0
2023;M;Вукан;5;borska;0
2023;F;Хелена;6;borska;0
2023;M;Павле;6;borska;0
2023;F;Анђелија;7;borska;0
2023;M;Душан;7;borska;0
2023;F;Уна;8;borska;0
2023;M;Алекса;8;borska;0
2023;F;Даница;9;borska;0
2023;M;Тадија;9;borska;0
2023;F;Маша;10;borska;0
2023;M;Ђорђе;10;borska;0
2023;F;Дуња;1;branicevska;0
2023;M;Богдан;1;branicevska;0
2023;F;Софија;2;branicevska;0
2023;M;Вукан;2;branicevska;0
2023;F;Нађа;3;branicevska;0
2023;M;Филип;3;branicevska;0
2023;F;Теодора;4;branicevska;0
2023;M;Лука;4;branicevska;0
2023;F;Мила;5;branicevska;0
