year;gender;source_form;rank;district_code;flagged
2024;F;Софија;1;;0
2024;M;Лука;1;;0
2024;F;Дуња;2;;0
2024;M;Василије;2;;0
2024;F;Мила;3;;0
2024;M;Богдан;3;;0
2024;F;Теодора;4;;0
2024;M;Лазар;4;;0
2024;F;Тара;5;;0
2024;M;Вукан;5;;0
2024;F;Маша;6;;0
2024;M;Стефан;6;;0
2024;F;Нађа;7;;0
2024;M;Вук;7;;0
2024;F;Петра;8;;0
2024;M;Алекса;8;;0
2024;F;Милица;9;;0
2024;M;Павле;9;;0
2024;F;Уна;10;;0
2024;M;Душан;10;;0
2024;F;Софија;1;beogradska;0
2024;M;Лука;1;beogradska;0
2024;F;Дуња;2;beogradska;0
2024;M;Василије;2;beogradska;0
2024;F;Мила;3;beogradska;0
2024;M;Богдан;3;beogradska;0
2024;F;Тара;4;beogradska;0
2024;M;Лазар;4;beogradska;0
2024;F;Петра;5;beogradska;0
2024;M;Вук;5;beogradska;0
2024;F;Маша;6;beogradska;0
2024;M;Стефан;6;beogradska;0
2024;F;Даница;7;beogradska;0
2024;M;Вукан;7;beogradska;0
2024;F;Теодора;8;beogradska;0
2024;M;Виктор;8;beogradska;0
2024;F;Уна;9;beogradska;0
2024;M;Алекса;9;beogradska;0
2024;F;Ленка;10;beogradska;0
2024;M;Филип;10;beogradska;0
2024;F;Милица;1;zapadnobacka;0
2024;M;Лука;1;zapadnobacka;0
2024;F;Дуња;2;zapadnobacka;0
2024;M;Душан;2;zapadnobacka;0
2024;F;Софија;3;zapadnobacka;0
2024;M;Василије;3;zapadnobacka;0
2024;F;Мила;4;zapadnobacka;0
2024;M;Михајло;4;zapadnobacka;0
2024;F;Сара;5;zapadnobacka;0
2024;M;Стефан;5;zapadnobacka;0
2024;F;Теодора;6;zapadnobacka;0
2024;M;Алекса;6;zapadnobacka;0
2024;F;Анђела;7;zapadnobacka;0
2024;M;Лазар;7;zapadnobacka;0
2024;F;Јана;8;zapadnobacka;0
2024;M;Никола;8;zapadnobacka;0
2024;F;Тара;9;zapadnobacka;0
2024;M;Богдан;9;zapadnobacka;0
2024;F;Лана;10;zapadnobacka;0
2024;M;Огњен;10;zapadnobacka;0
2024;F;Софија;1;juznobanatska;0
2024;M;Лазар;1;juznobanatska;0
2024;F;Дуња;2;juznobanatska;0
2024;M;Лука;2;juznobanatska;0
2024;F;Мила;3;juznobanatska;0
2024;M;Стефан;3;juznobanatska;0
2024;F;Милица;4;juznobanatska;0
2024;M;Богдан;4;juznobanatska;0
2024;F;Теодора;5;juznobanatska;0
2024;M;Василије;5;juznobanatska;0
2024;F;Николина;6;juznobanatska;0
2024;M;Вук;6;juznobanatska;0
2024;F;Искра;7;juznobanatska;0
2024;M;Алекса;7;juznobanatska;0
